# What was decided about every public member of every class the binding wraps.
# Written and checked by tools/audit_api.py -- see that file for why.
#
# class <TAB> member <TAB> verdict <TAB> note
#
#   bound      reachable from Gren today
#   used       the binding calls it, and it is not itself something a Gren
#              program names -- geometry, a setter a render goes through
#   internal   Turbo Vision's own plumbing: painting, buffers, stream
#              persistence, virtuals a subclass overrides and a caller never calls
#   skipped    a decision not to offer it, with the reason
#   todo       a gap somebody has agreed is a gap, with what it would buy
#
# A member with no line here is one nobody has looked at, and that is what the
# audit fails on. `todo` lines are reported and do not fail.
TView	genRefs	internal	object-stream persistence; no view here is serialised
TView	sizeLimits	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	getBounds	used	the binding calls it; not itself a thing a Gren program names
TView	getExtent	used	the binding calls it; not itself a thing a Gren program names
TView	getClipRect	internal	the clipping rectangle a draw is limited to
TView	mouseInView	used	the binding calls it; not itself a thing a Gren program names
TView	containsMouse	used	the popup menu asks it
TView	locate	used	the binding calls it; not itself a thing a Gren program names
TView	dragView	skipped	still nothing a Gren program names, but the binding now overrides it: JsWindow::dragView is the drag without the nested loop
TView	calcBounds	used	the binding calls it; not itself a thing a Gren program names
TView	changeBounds	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	growTo	skipped	a window's rectangle is the model's and a render is how it changes
TView	moveTo	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	setBounds	used	the binding calls it; not itself a thing a Gren program names
TView	getHelpCtx	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	valid	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	hide	bound	the `Visible` wrapper
TView	show	bound	the `Visible` wrapper
TView	draw	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	drawView	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	exposed	skipped	whether any cell of a view is visible; a model that needs this is asking about paint
TView	focus	used	the binding calls it; not itself a thing a Gren program names
TView	hideCursor	used	the binding calls it; not itself a thing a Gren program names
TView	drawHide	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	drawShow	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	drawUnderRect	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	drawUnderView	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	dataSize	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	getData	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	setData	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	awaken	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	blockCursor	used	the binding calls it; not itself a thing a Gren program names
TView	normalCursor	skipped	Canvas has blockCursor as a field; the other shape is the default
TView	resetCursor	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	setCursor	used	the binding calls it; not itself a thing a Gren program names
TView	showCursor	used	the binding calls it; not itself a thing a Gren program names
TView	drawCursor	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	clearEvent	used	the binding calls it; not itself a thing a Gren program names
TView	eventAvail	skipped	the pump owns the queue
TView	getEvent	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	handleEvent	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	putEvent	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	commandEnabled	used	the binding calls it; not itself a thing a Gren program names
TView	disableCommands	used	the binding calls it; not itself a thing a Gren program names
TView	enableCommands	skipped	setEnabled takes one command; a set is the model's loop
TView	disableCommand	used	the binding calls it; not itself a thing a Gren program names
TView	enableCommand	used	the binding calls it; not itself a thing a Gren program names
TView	getCommands	used	the binding calls it; not itself a thing a Gren program names
TView	setCommands	used	the binding calls it; not itself a thing a Gren program names
TView	setCmdState	skipped	setEnabled is the pair of enable/disable underneath it
TView	endModal	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	execute	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	getColor	used	the binding calls it; not itself a thing a Gren program names
TView	getPalette	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	mapColor	skipped	palette indirection, which is what the palette example decided against
TView	getState	skipped	the model is the state; asking a view what it is would be the query this port has never had
TView	select	used	the binding calls it; not itself a thing a Gren program names
TView	setState	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	keyEvent	skipped	a blocking read of the next key -- a nested loop by another name
TView	mouseEvent	used	the binding calls it; not itself a thing a Gren program names
TView	textEvent	skipped	see keyEvent
TView	setTimer	skipped	a Gren program has Time subscriptions, which are the same thing and are already its own
TView	killTimer	skipped	see setTimer
TView	makeGlobal	used	the binding calls it; not itself a thing a Gren program names
TView	makeLocal	used	the binding calls it; not itself a thing a Gren program names
TView	nextView	internal	z-order walking, inside a group
TView	prevView	internal	z-order walking, inside a group
TView	prev	used	the binding calls it; not itself a thing a Gren program names
TView	next	used	the binding calls it; not itself a thing a Gren program names
TView	makeFirst	bound	`Tui.bringToFront`, through TView::select, which a window's ofTopSelect turns into a makeFirst
TView	putInFrontOf	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	TopView	internal	the modal stack keeps its own top
TView	writeBuf	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	writeChar	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	writeLine	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	writeStr	internal	painting, which is Turbo Vision's once the model has said what to paint
TView	size	used	the binding calls it; not itself a thing a Gren program names
TView	options	used	the binding calls it; not itself a thing a Gren program names
TView	eventMask	used	the binding calls it; not itself a thing a Gren program names
TView	state	used	the binding calls it; not itself a thing a Gren program names
TView	origin	used	a view's position, which setBounds writes
TView	cursor	used	the binding calls it; not itself a thing a Gren program names
TView	growMode	used	the binding calls it; not itself a thing a Gren program names
TView	dragMode	skipped	which edges a drag is limited to; Resize says the same thing in the model's words
TView	helpCtx	used	the binding calls it; not itself a thing a Gren program names
TView	commandSetChanged	internal	a global flag TVision sets when commands move
TView	curCommandSet	used	the binding calls it; not itself a thing a Gren program names
TView	owner	used	the binding calls it; not itself a thing a Gren program names
TView	showMarkers	skipped	Borland's arrows around the focused control, off since 1990 and off here
TView	errorAttr	skipped	the colour of a view that failed to draw; nothing here can fail that way
TView	shutDown	internal	a virtual the binding overrides or inherits, not a call a model makes
TView	build	internal	object-stream persistence; no view here is serialised
TGroup	genRefs	internal	object-stream persistence; no view here is serialised
TGroup	shutDown	internal	a virtual the binding overrides or inherits, not a call a model makes
TGroup	execView	used	the binding calls it; not itself a thing a Gren program names
TGroup	execute	internal	a virtual the binding overrides or inherits, not a call a model makes
TGroup	awaken	internal	a virtual the binding overrides or inherits, not a call a model makes
TGroup	insertView	internal	Turbo Vision's own plumbing
